Rank,"Previous Rank","First Appearance","First Rank",Name,Computer,Site,Manufacturer,Country,Year,Segment,"Total Cores","Accelerator/Co-Processor Cores","Rmax [TFlop/s]","Rpeak [TFlop/s]",Nmax,Nhalf,"HPCG [TFlop/s]","Power (kW)","Power Source","Power Effeciency [GFlops/Watts]",Architecture,Processor,"Processor Technology","Processor Speed (MHz)","Operating System","OS Family",Accelerator/Co-Processor,"Cores per Socket","Processor Generation","System Model","System Family","Interconnect Family",Interconnect,Region,Continent,"Site ID","System ID"
249,179,51,105,"Software Company (M) AA1","Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet","Cloud Provider",Lenovo,Australia,2017,Industry,57600,,1649.11,2119.68,8586432,,,,,,Cluster,"Xeon E5-2673v4 20C 2.3GHz","Intel Broadwell",2300,Linux,Linux,None,20,"Intel Xeon E5 (Broadwell)","Lenovo C1040","Lenovo Cluster","Gigabit Ethernet","40G Ethernet","Australia and New Zealand",Oceania,50724,179336
250,180,52,138,"Software Company (M) CA3","Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet","Cloud Provider",Lenovo,Canada,2018,Industry,57600,,1649.11,2119.68,8586432,,,,,,Cluster,"Xeon E5-2673v4 20C 2.3GHz","Intel Broadwell",2300,Linux,Linux,None,20,"Intel Xeon E5 (Broadwell)","Lenovo C1040","Lenovo Cluster","Gigabit Ethernet","40G Ethernet","North America",Americas,50726,179449
251,181,52,139,"Software Company (M) CA2","Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet","Cloud Provider",Lenovo,Canada,2018,Industry,57600,,1649.11,2119.68,8586432,,,,,,Cluster,"Xeon E5-2673v4 20C 2.3GHz","Intel Broadwell",2300,Linux,Linux,None,20,"Intel Xeon E5 (Broadwell)","Lenovo C1040","Lenovo Cluster","Gigabit Ethernet","40G Ethernet","North America",Americas,50726,179450
252,182,52,136,"Software Company (M) CA1","Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet","Cloud Provider",Lenovo,Canada,2018,Industry,57600,,1649.11,2119.68,8586432,,,,,,Cluster,"Xeon E5-2673v4 20C 2.3GHz","Intel Broadwell",2300,Linux,Linux,None,20,"Intel Xeon E5 (Broadwell)","Lenovo C1040","Lenovo Cluster","Gigabit Ethernet","40G Ethernet","North America",Americas,50726,179451
253,,54,253,,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet","Cloud Provider",Lenovo,Canada,2019,Industry,57600,,1649.11,2119.68,8586432,,,,,,Cluster,"Xeon E5-2673v4 20C 2.3GHz","Intel Broadwell",2300,Linux,Linux,None,20,"Intel Xeon E5 (Broadwell)","Lenovo C1040","Lenovo Cluster","Gigabit Ethernet","40G Ethernet","North America",Americas,50726,179725
254,183,51,112,"Software Company (M) A16","Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet","Hosting Services",Lenovo,"United States",2018,Industry,57600,,1649.11,2119.68,8586432,,,,,,Cluster,"Xeon E5-2673v4 20C 2.3GHz","Intel Broadwell",2300,Linux,Linux,None,20,"Intel Xeon E5 (Broadwell)","Lenovo C1040","Lenovo Cluster","Gigabit Ethernet","40G Ethernet","North America",Americas,50171,179337
255,184,51,106,"Software Company (M) A15","Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet","Hosting Services",Lenovo,"United States",2018,Industry,57600,,1649.11,2119.68,8586432,,,,,,Cluster,"Xeon E5-2673v4 20C 2.3GHz","Intel Broadwell",2300,Linux,Linux,None,20,"Intel Xeon E5 (Broadwell)","Lenovo C1040","Lenovo Cluster","Gigabit Ethernet","40G Ethernet","North America",Americas,50171,179338
256,185,51,117,"Software Company (M) A14","Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet","Hosting Services",Lenovo,"United States",2018,Industry,57600,,1649.11,2119.68,8586432,,,,,,Cluster,"Xeon E5-2673v4 20C 2.3GHz","Intel Broadwell",2300,Linux,Linux,None,20,"Intel Xeon E5 (Broadwell)","Lenovo C1040","Lenovo Cluster","Gigabit Ethernet","40G Ethernet","North America",Americas,50171,179339
257,186,51,113,"Software Company (M) A13","Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet","Hosting Services",Lenovo,"United States",2018,Industry,57600,,1649.11,2119.68,8586432,,,,,,Cluster,"Xeon E5-2673v4 20C 2.3GHz","Intel Broadwell",2300,Linux,Linux,None,20,"Intel Xeon E5 (Broadwell)","Lenovo C1040","Lenovo Cluster","Gigabit Ethernet","40G Ethernet","North America",Americas,50171,179340
258,187,51,107,"Software Company (M) A11","Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet","Hosting Services",Lenovo,"United States",2018,Industry,57600,,1649.11,2119.68,8586432,,,,,,Cluster,"Xeon E5-2673v4 20C 2.3GHz","Intel Broadwell",2300,Linux,Linux,None,20,"Intel Xeon E5 (Broadwell)","Lenovo C1040","Lenovo Cluster","Gigabit Ethernet","40G Ethernet","North America",Americas,50171,179341
259,188,51,118,"Software Company (M) A10","Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet","Hosting Services",Lenovo,"United States",2018,Industry,57600,,1649.11,2119.68,8586432,,,,,,Cluster,"Xeon E5-2673v4 20C 2.3GHz","Intel Broadwell",2300,Linux,Linux,None,20,"Intel Xeon E5 (Broadwell)","Lenovo C1040","Lenovo Cluster","Gigabit Ethernet","40G Ethernet","North America",Americas,50171,179342
260,189,51,114,"Software Company (M) A9","Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet","Hosting Services",Lenovo,"United States",2018,Industry,57600,,1649.11,2119.68,8586432,,,,,,Cluster,"Xeon E5-2673v4 20C 2.3GHz","Intel Broadwell",2300,Linux,Linux,None,20,"Intel Xeon E5 (Broadwell)","Lenovo C1040","Lenovo Cluster","Gigabit Ethernet","40G Ethernet","North America",Americas,50171,179343
261,190,51,108,"Software Company (M) A8","Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet","Hosting Services",Lenovo,"United States",2018,Industry,57600,,1649.11,2119.68,8586432,,,,,,Cluster,"Xeon E5-2673v4 20C 2.3GHz","Intel Broadwell",2300,Linux,Linux,None,20,"Intel Xeon E5 (Broadwell)","Lenovo C1040","Lenovo Cluster","Gigabit Ethernet","40G Ethernet","North America",Americas,50171,179344
262,191,51,119,"Software Company (M) A7","Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet","Hosting Services",Lenovo,"United States",2018,Industry,57600,,1649.11,2119.68,8586432,,,,,,Cluster,"Xeon E5-2673v4 20C 2.3GHz","Intel Broadwell",2300,Linux,Linux,None,20,"Intel Xeon E5 (Broadwell)","Lenovo C1040","Lenovo Cluster","Gigabit Ethernet","40G Ethernet","North America",Americas,50171,179345
263,192,51,115,"Software Company (M) A6","Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet","Hosting Services",Lenovo,"United States",2018,Industry,57600,,1649.11,2119.68,8586432,,,,,,Cluster,"Xeon E5-2673v4 20C 2.3GHz","Intel Broadwell",2300,Linux,Linux,None,20,"Intel Xeon E5 (Broadwell)","Lenovo C1040","Lenovo Cluster","Gigabit Ethernet","40G Ethernet","North America",Americas,50171,179346
264,193,51,109,"Software Company (M) A4","Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet","Hosting Services",Lenovo,"United States",2018,Industry,57600,,1649.11,2119.68,8586432,,,,,,Cluster,"Xeon E5-2673v4 20C 2.3GHz","Intel Broadwell",2300,Linux,Linux,None,20,"Intel Xeon E5 (Broadwell)","Lenovo C1040","Lenovo Cluster","Gigabit Ethernet","40G Ethernet","North America",Americas,50171,179347
265,194,51,120,"Software Company (M) A3","Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet","Hosting Services",Lenovo,"United States",2018,Industry,57600,,1649.11,2119.68,8586432,,,,,,Cluster,"Xeon E5-2673v4 20C 2.3GHz","Intel Broadwell",2300,Linux,Linux,None,20,"Intel Xeon E5 (Broadwell)","Lenovo C1040","Lenovo Cluster","Gigabit Ethernet","40G Ethernet","North America",Americas,50171,179348
266,195,51,116,"Software Company (M) A2","Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet","Hosting Services",Lenovo,"United States",2017,Industry,57600,,1649.11,2119.68,8586432,,,,,,Cluster,"Xeon E5-2673v4 20C 2.3GHz","Intel Broadwell",2300,Linux,Linux,None,20,"Intel Xeon E5 (Broadwell)","Lenovo C1040","Lenovo Cluster","Gigabit Ethernet","40G Ethernet","North America",Americas,50171,179349
267,196,51,111,"Software Company (M) A1","Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet","Hosting Services",Lenovo,"United States",2017,Industry,57600,,1649.11,2119.68,8586432,,,,,,Cluster,"Xeon E5-2673v4 20C 2.3GHz","Intel Broadwell",2300,Linux,Linux,None,20,"Intel Xeon E5 (Broadwell)","Lenovo C1040","Lenovo Cluster","Gigabit Ethernet","40G Ethernet","North America",Americas,50171,179350
268,197,51,110,"Software Company (M) A12","Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet","Hosting Services",Lenovo,"United States",2018,Industry,57600,,1649.11,2119.68,8586432,,,,,,Cluster,"Xeon E5-2673v4 20C 2.3GHz","Intel Broadwell",2300,Linux,Linux,None,20,"Intel Xeon E5 (Broadwell)","Lenovo C1040","Lenovo Cluster","Gigabit Ethernet","40G Ethernet","North America",Americas,50171,179395
269,198,51,121,"Software Company (M) A5","Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet","Hosting Services",Lenovo,"United States",2018,Industry,57600,,1649.11,2119.68,8586432,,,,,,Cluster,"Xeon E5-2673v4 20C 2.3GHz","Intel Broadwell",2300,Linux,Linux,None,20,"Intel Xeon E5 (Broadwell)","Lenovo C1040","Lenovo Cluster","Gigabit Ethernet","40G Ethernet","North America",Americas,50171,179396
270,199,52,151,"Software Company (M) A26","Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet","Hosting Services",Lenovo,"United States",2018,Industry,57600,,1649.11,2119.68,8586432,,,,,,Cluster,"Xeon E5-2673v4 20C 2.3GHz","Intel Broadwell",2300,Linux,Linux,None,20,"Intel Xeon E5 (Broadwell)","Lenovo C1040","Lenovo Cluster","Gigabit Ethernet","40G Ethernet","North America",Americas,50171,179446
271,200,52,155,,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet","Hosting Services",Lenovo,"United States",2018,Industry,57600,,1649.11,2119.68,8586432,,,,,,Cluster,"Xeon E5-2673v4 20C 2.3GHz","Intel Broadwell",2300,Linux,Linux,None,20,"Intel Xeon E5 (Broadwell)","Lenovo C1040","Lenovo Cluster","Gigabit Ethernet","40G Ethernet","North America",Americas,50171,179463
272,201,52,159,,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet","Hosting Services",Lenovo,"United States",2018,Industry,57600,,1649.11,2119.68,8586432,,,,,,Cluster,"Xeon E5-2673v4 20C 2.3GHz","Intel Broadwell",2300,Linux,Linux,None,20,"Intel Xeon E5 (Broadwell)","Lenovo C1040","Lenovo Cluster","Gigabit Ethernet","40G Ethernet","North America",Americas,50171,179464
273,202,52,163,,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet","Hosting Services",Lenovo,"United States",2018,Industry,57600,,1649.11,2119.68,8586432,,,,,,Cluster,"Xeon E5-2673v4 20C 2.3GHz","Intel Broadwell",2300,Linux,Linux,None,20,"Intel Xeon E5 (Broadwell)","Lenovo C1040","Lenovo Cluster","Gigabit Ethernet","40G Ethernet","North America",Americas,50171,179465
274,203,52,166,,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet","Hosting Services",Lenovo,"United States",2018,Industry,57600,,1649.11,2119.68,8586432,,,,,,Cluster,"Xeon E5-2673v4 20C 2.3GHz","Intel Broadwell",2300,Linux,Linux,None,20,"Intel Xeon E5 (Broadwell)","Lenovo C1040","Lenovo Cluster","Gigabit Ethernet","40G Ethernet","North America",Americas,50171,179466
275,204,52,142,,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet","Hosting Services",Lenovo,"United States",2018,Industry,57600,,1649.11,2119.68,8586432,,,,,,Cluster,"Xeon E5-2673v4 20C 2.3GHz","Intel Broadwell",2300,Linux,Linux,None,20,"Intel Xeon E5 (Broadwell)","Lenovo C1040","Lenovo Cluster","Gigabit Ethernet","40G Ethernet","North America",Americas,50171,179467
276,205,52,145,,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet","Hosting Services",Lenovo,"United States",2018,Industry,57600,,1649.11,2119.68,8586432,,,,,,Cluster,"Xeon E5-2673v4 20C 2.3GHz","Intel Broadwell",2300,Linux,Linux,None,20,"Intel Xeon E5 (Broadwell)","Lenovo C1040","Lenovo Cluster","Gigabit Ethernet","40G Ethernet","North America",Americas,50171,179468
277,206,52,148,,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet","Hosting Services",Lenovo,"United States",2018,Industry,57600,,1649.11,2119.68,8586432,,,,,,Cluster,"Xeon E5-2673v4 20C 2.3GHz","Intel Broadwell",2300,Linux,Linux,None,20,"Intel Xeon E5 (Broadwell)","Lenovo C1040","Lenovo Cluster","Gigabit Ethernet","40G Ethernet","North America",Americas,50171,179469
278,207,52,152,,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet","Hosting Services",Lenovo,"United States",2018,Industry,57600,,1649.11,2119.68,8586432,,,,,,Cluster,"Xeon E5-2673v4 20C 2.3GHz","Intel Broadwell",2300,Linux,Linux,None,20,"Intel Xeon E5 (Broadwell)","Lenovo C1040","Lenovo Cluster","Gigabit Ethernet","40G Ethernet","North America",Americas,50171,179470
279,208,52,156,,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet","Hosting Services",Lenovo,"United States",2018,Industry,57600,,1649.11,2119.68,8586432,,,,,,Cluster,"Xeon E5-2673v4 20C 2.3GHz","Intel Broadwell",2300,Linux,Linux,None,20,"Intel Xeon E5 (Broadwell)","Lenovo C1040","Lenovo Cluster","Gigabit Ethernet","40G Ethernet","North America",Americas,50171,179471
280,209,52,160,,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet","Hosting Services",Lenovo,"United States",2018,Industry,57600,,1649.11,2119.68,8586432,,,,,,Cluster,"Xeon E5-2673v4 20C 2.3GHz","Intel Broadwell",2300,Linux,Linux,None,20,"Intel Xeon E5 (Broadwell)","Lenovo C1040","Lenovo Cluster","Gigabit Ethernet","40G Ethernet","North America",Americas,50171,179472
281,210,53,210,"Software Company (M) A38","Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet","Hosting Services",Lenovo,"United States",2018,Industry,57600,,1649.11,2119.68,8586432,,,,,,Cluster,"Xeon E5-2673v4 20C 2.3GHz","Intel Broadwell",2300,Linux,Linux,None,20,"Intel Xeon E5 (Broadwell)","Lenovo C1040","Lenovo Cluster","Gigabit Ethernet","40G Ethernet","North America",Americas,50171,179625
282,211,53,211,"Software Company (M) A37","Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet","Hosting Services",Lenovo,"United States",2018,Industry,57600,,1649.11,2119.68,8586432,,,,,,Cluster,"Xeon E5-2673v4 20C 2.3GHz","Intel Broadwell",2300,Linux,Linux,None,20,"Intel Xeon E5 (Broadwell)","Lenovo C1040","Lenovo Cluster","Gigabit Ethernet","40G Ethernet","North America",Americas,50171,179626
283,212,53,212,"Software Company (M) A36","Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet","Hosting Services",Lenovo,"United States",2018,Industry,57600,,1649.11,2119.68,8586432,,,,,,Cluster,"Xeon E5-2673v4 20C 2.3GHz","Intel Broadwell",2300,Linux,Linux,None,20,"Intel Xeon E5 (Broadwell)","Lenovo C1040","Lenovo Cluster","Gigabit Ethernet","40G Ethernet","North America",Americas,50171,179628
284,213,53,213,"Software Company (M) A35","Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet","Hosting Services",Lenovo,"United States",2018,Industry,57600,,1649.11,2119.68,8586432,,,,,,Cluster,"Xeon E5-2673v4 20C 2.3GHz","Intel Broadwell",2300,Linux,Linux,None,20,"Intel Xeon E5 (Broadwell)","Lenovo C1040","Lenovo Cluster","Gigabit Ethernet","40G Ethernet","North America",Americas,50171,179629
285,214,53,214,"Software Company (M) A34","Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet","Hosting Services",Lenovo,"United States",2018,Industry,57600,,1649.11,2119.68,8586432,,,,,,Cluster,"Xeon E5-2673v4 20C 2.3GHz","Intel Broadwell",2300,Linux,Linux,None,20,"Intel Xeon E5 (Broadwell)","Lenovo C1040","Lenovo Cluster","Gigabit Ethernet","40G Ethernet","North America",Americas,50171,179630
286,215,53,215,"Software Company (M) A33","Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet","Hosting Services",Lenovo,"United States",2018,Industry,57600,,1649.11,2119.68,8586432,,,,,,Cluster,"Xeon E5-2673v4 20C 2.3GHz","Intel Broadwell",2300,Linux,Linux,None,20,"Intel Xeon E5 (Broadwell)","Lenovo C1040","Lenovo Cluster","Gigabit Ethernet","40G Ethernet","North America",Americas,50171,179631
287,216,53,216,"Software Company (M) A32","Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet","Hosting Services",Lenovo,"United States",2018,Industry,57600,,1649.11,2119.68,8586432,,,,,,Cluster,"Xeon E5-2673v4 20C 2.3GHz","Intel Broadwell",2300,Linux,Linux,None,20,"Intel Xeon E5 (Broadwell)","Lenovo C1040","Lenovo Cluster","Gigabit Ethernet","40G Ethernet","North America",Americas,50171,179633
288,217,53,217,"Software Company (M) A31","Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet","Hosting Services",Lenovo,"United States",2018,Industry,57600,,1649.11,2119.68,8586432,,,,,,Cluster,"Xeon E5-2673v4 20C 2.3GHz","Intel Broadwell",2300,Linux,Linux,None,20,"Intel Xeon E5 (Broadwell)","Lenovo C1040","Lenovo Cluster","Gigabit Ethernet","40G Ethernet","North America",Americas,50171,179634
289,218,53,218,"Software Company (M) A30","Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet","Hosting Services",Lenovo,"United States",2018,Industry,57600,,1649.11,2119.68,8586432,,,,,,Cluster,"Xeon E5-2673v4 20C 2.3GHz","Intel Broadwell",2300,Linux,Linux,None,20,"Intel Xeon E5 (Broadwell)","Lenovo C1040","Lenovo Cluster","Gigabit Ethernet","40G Ethernet","North America",Americas,50171,179635
290,219,53,219,"Software Company (M) A29","Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet","Hosting Services",Lenovo,"United States",2018,Industry,57600,,1649.11,2119.68,8586432,,,,,,Cluster,"Xeon E5-2673v4 20C 2.3GHz","Intel Broadwell",2300,Linux,Linux,None,20,"Intel Xeon E5 (Broadwell)","Lenovo C1040","Lenovo Cluster","Gigabit Ethernet","40G Ethernet","North America",Americas,50171,179636
291,220,53,220,"Software Company (M) A28","Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet","Hosting Services",Lenovo,"United States",2018,Industry,57600,,1649.11,2119.68,8586432,,,,,,Cluster,"Xeon E5-2673v4 20C 2.3GHz","Intel Broadwell",2300,Linux,Linux,None,20,"Intel Xeon E5 (Broadwell)","Lenovo C1040","Lenovo Cluster","Gigabit Ethernet","40G Ethernet","North America",Americas,50171,179637
292,,54,292,,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 10G Ethernet","Hosting Services",Lenovo,"United States",2019,Industry,57600,,1649.11,2119.68,8586432,,,,,,Cluster,"Xeon E5-2673v4 20C 2.3GHz","Intel Broadwell",2300,Linux,Linux,None,20,"Intel Xeon E5 (Broadwell)","Lenovo C1040","Lenovo Cluster","Gigabit Ethernet","10G Ethernet","North America",Americas,50171,179719
293,,54,293,,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 10G Ethernet","Hosting Services",Lenovo,"United States",2019,Industry,57600,,1649.11,2119.68,8586432,,,,,,Cluster,"Xeon E5-2673v4 20C 2.3GHz","Intel Broadwell",2300,Linux,Linux,None,20,"Intel Xeon E5 (Broadwell)","Lenovo C1040","Lenovo Cluster","Gigabit Ethernet","10G Ethernet","North America",Americas,50171,179720
294,,54,294,,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 10G Ethernet","Hosting Services",Lenovo,"United States",2019,Industry,57600,,1649.11,2119.68,8586432,,,,,,Cluster,"Xeon E5-2673v4 20C 2.3GHz","Intel Broadwell",2300,Linux,Linux,None,20,"Intel Xeon E5 (Broadwell)","Lenovo C1040","Lenovo Cluster","Gigabit Ethernet","10G Ethernet","North America",Americas,50171,179721
295,,54,295,,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 10G Ethernet","Hosting Services",Lenovo,"United States",2019,Industry,57600,,1649.11,2119.68,8586432,,,,,,Cluster,"Xeon E5-2673v4 20C 2.3GHz","Intel Broadwell",2300,Linux,Linux,None,20,"Intel Xeon E5 (Broadwell)","Lenovo C1040","Lenovo Cluster","Gigabit Ethernet","10G Ethernet","North America",Americas,50171,179722
296,,54,296,,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 10G Ethernet","Hosting Services",Lenovo,"United States",2019,Industry,57600,,1649.11,2119.68,8586432,,,,,,Cluster,"Xeon E5-2673v4 20C 2.3GHz","Intel Broadwell",2300,Linux,Linux,None,20,"Intel Xeon E5 (Broadwell)","Lenovo C1040","Lenovo Cluster","Gigabit Ethernet","10G Ethernet","North America",Americas,50171,179723
297,,54,297,,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 10G Ethernet","Hosting Services",Lenovo,"United States",2019,Industry,57600,,1649.11,2119.68,8586432,,,,,,Cluster,"Xeon E5-2673v4 20C 2.3GHz","Intel Broadwell",2300,Linux,Linux,None,20,"Intel Xeon E5 (Broadwell)","Lenovo C1040","Lenovo Cluster","Gigabit Ethernet","10G Ethernet","North America",Americas,50171,179724
298,221,51,126,NA5,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet","Software Company (M)",Lenovo,Netherlands,2018,Industry,57600,,1649.11,2119.68,8586432,,,,,,Cluster,"Xeon E5-2673v4 20C 2.3GHz","Intel Broadwell",2300,Linux,Linux,None,20,"Intel Xeon E5 (Broadwell)","Lenovo C1040","Lenovo Cluster","Gigabit Ethernet","40G Ethernet","Western Europe",Europe,50503,179327
299,222,51,123,NA4,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet","Software Company (M)",Lenovo,Netherlands,2018,Industry,57600,,1649.11,2119.68,8586432,,,,,,Cluster,"Xeon E5-2673v4 20C 2.3GHz","Intel Broadwell",2300,Linux,Linux,None,20,"Intel Xeon E5 (Broadwell)","Lenovo C1040","Lenovo Cluster","Gigabit Ethernet","40G Ethernet","Western Europe",Europe,50503,179328
300,223,51,129,NA3,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet","Software Company (M)",Lenovo,Netherlands,2018,Industry,57600,,1649.11,2119.68,8586432,,,,,,Cluster,"Xeon E5-2673v4 20C 2.3GHz","Intel Broadwell",2300,Linux,Linux,None,20,"Intel Xeon E5 (Broadwell)","Lenovo C1040","Lenovo Cluster","Gigabit Ethernet","40G Ethernet","Western Europe",Europe,50503,179329
301,224,51,127,NA2,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet","Software Company (M)",Lenovo,Netherlands,2018,Industry,57600,,1649.11,2119.68,8586432,,,,,,Cluster,"Xeon E5-2673v4 20C 2.3GHz","Intel Broadwell",2300,Linux,Linux,None,20,"Intel Xeon E5 (Broadwell)","Lenovo C1040","Lenovo Cluster","Gigabit Ethernet","40G Ethernet","Western Europe",Europe,50503,179330
302,225,51,124,NA1,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet","Software Company (M)",Lenovo,Netherlands,2018,Industry,57600,,1649.11,2119.68,8586432,,,,,,Cluster,"Xeon E5-2673v4 20C 2.3GHz","Intel Broadwell",2300,Linux,Linux,None,20,"Intel Xeon E5 (Broadwell)","Lenovo C1040","Lenovo Cluster","Gigabit Ethernet","40G Ethernet","Western Europe",Europe,50503,179331
303,226,51,130,IA4,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet","Software Company (M)",Lenovo,Ireland,2018,Industry,57600,,1649.11,2119.68,8586432,,,,,,Cluster,"Xeon E5-2673v4 20C 2.3GHz","Intel Broadwell",2300,Linux,Linux,None,20,"Intel Xeon E5 (Broadwell)","Lenovo C1040","Lenovo Cluster","Gigabit Ethernet","40G Ethernet","Northern Europe",Europe,50502,179332
304,227,51,128,IA3,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet","Software Company (M)",Lenovo,Ireland,2018,Industry,57600,,1649.11,2119.68,8586432,,,,,,Cluster,"Xeon E5-2673v4 20C 2.3GHz","Intel Broadwell",2300,Linux,Linux,None,20,"Intel Xeon E5 (Broadwell)","Lenovo C1040","Lenovo Cluster","Gigabit Ethernet","40G Ethernet","Northern Europe",Europe,50502,179333
305,228,51,125,IA2,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet","Software Company (M)",Lenovo,Ireland,2018,Industry,57600,,1649.11,2119.68,8586432,,,,,,Cluster,"Xeon E5-2673v4 20C 2.3GHz","Intel Broadwell",2300,Linux,Linux,None,20,"Intel Xeon E5 (Broadwell)","Lenovo C1040","Lenovo Cluster","Gigabit Ethernet","40G Ethernet","Northern Europe",Europe,50502,179334
306,229,51,122,IA1,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet","Software Company (M)",Lenovo,Ireland,2018,Industry,57600,,1649.11,2119.68,8586432,,,,,,Cluster,"Xeon E5-2673v4 20C 2.3GHz","Intel Broadwell",2300,Linux,Linux,None,20,"Intel Xeon E5 (Broadwell)","Lenovo C1040","Lenovo Cluster","Gigabit Ethernet","40G Ethernet","Northern Europe",Europe,50502,179335
307,230,52,177,SB3,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet","Software Company (M)",Lenovo,Singapore,2018,Industry,57600,,1649.11,2119.68,8586432,,,,,,Cluster,"Xeon E5-2673v4 20C 2.3GHz","Intel Broadwell",2300,Linux,Linux,None,20,"Intel Xeon E5 (Broadwell)","Lenovo C1040","Lenovo Cluster","Gigabit Ethernet","40G Ethernet","South-eastern Asia",Asia,50758,179447
308,231,52,180,SB2,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet","Software Company (M)",Lenovo,Singapore,2018,Industry,57600,,1649.11,2119.68,8586432,,,,,,Cluster,"Xeon E5-2673v4 20C 2.3GHz","Intel Broadwell",2300,Linux,Linux,None,20,"Intel Xeon E5 (Broadwell)","Lenovo C1040","Lenovo Cluster","Gigabit Ethernet","40G Ethernet","South-eastern Asia",Asia,50758,179448
