Rank,"Previous Rank","First Appearance","First Rank",Name,Computer,Site,Manufacturer,Country,Year,Segment,"Total Cores","Accelerator/Co-Processor Cores","Rmax [TFlop/s]","Rpeak [TFlop/s]",Nmax,Nhalf,"HPCG [TFlop/s]","Power (kW)","Power Source","Power Effeciency [GFlops/Watts]",Architecture,Processor,"Processor Technology","Processor Speed (MHz)","Operating System","OS Family",Accelerator/Co-Processor,"Cores per Socket","Processor Generation","System Model","System Family","Interconnect Family",Interconnect,Region,Continent,"Site ID","System ID"
426,327,52,251,,"Lenovo x240 M5, Xeon E5-2667v4 8C 3.2GHz, 10G Ethernet","China Manufacture Company B",Lenovo,China,2016,Industry,51200,,1284.5,2621.44,6399936,,,,,,Cluster,"Xeon E5-2667v4 8C 3.2GHz","Intel Broadwell",3200,Linux,Linux,None,8,"Intel Xeon E5 (Broadwell)","Lenovo x240 M5","Lenovo Cluster","Gigabit Ethernet","10G Ethernet","Eastern Asia",Asia,50704,179584
427,328,52,252,,"Lenovo HR650x, Xeon Gold 6148 20C 2.4GHz, 25G Ethernet","Service Provider T",Lenovo,China,2018,Industry,30400,,1284.26,2334.72,3820032,,,,,,Cluster,"Xeon Gold 6148 20C 2.4GHz","Intel Skylake",2400,Linux,Linux,None,20,"Xeon Gold","ThinkSystem HR650X","Lenovo ThinkSystem","Gigabit Ethernet","25G Ethernet","Eastern Asia",Asia,50329,179485
428,329,50,101,,"Inspur SA5212M4, Xeon E5-2682v4 16C 2.5GHz, 10G Ethernet","Internet Service A",Inspur,China,2017,Industry,66560,,1276,2662.4,5347000,,,,,,Cluster,"Xeon E5-2682v4 16C 2.5GHz","Intel Broadwell",2500,Linux,Linux,None,16,"Intel Xeon E5 (Broadwell)","Inspur SA5212M4","Inspur Cluster","Gigabit Ethernet","10G Ethernet","Eastern Asia",Asia,50596,179217
429,330,35,2,Nebulae,"Dawning TC3600 Blade System, Xeon X5650 6C 2.66GHz, Infiniband QDR, NVIDIA 2050","National Supercomputing Centre in Shenzhen (NSCS)",Sugon,China,2010,Research,120640,64960,1271,2984.3,2359296,,,2580,Submitted,0.493,Cluster,"Xeon X5650 6C 2.66GHz","Intel Nehalem",2660,Linux,Linux,"NVIDIA 2050",6,"Xeon 5600-series (Westmere-EP)","Dawning TC3600 Blade System","Dawning Cluster",Infiniband,"Infiniband QDR","Eastern Asia",Asia,50287,176819
430,331,50,103,,"Inspur SA5212M4, Xeon E5-2682v4 16C 2.5GHz, 10G Ethernet","Internet Service A",Inspur,China,2017,Industry,65280,,1271,2611.2,5295000,,,,,,Cluster,"Xeon E5-2682v4 16C 2.5GHz","Intel Broadwell",2500,Linux,Linux,None,16,"Intel Xeon E5 (Broadwell)","Inspur SA5212M4","Inspur Cluster","Gigabit Ethernet","10G Ethernet","Eastern Asia",Asia,50596,179218
431,332,50,104,,"Inspur SA5212M4, Xeon E5-2682v4 16C 2.5GHz, 10G Ethernet","Internet Service A",Inspur,China,2017,Industry,64000,,1269,2560,5243000,,,,,,Cluster,"Xeon E5-2682v4 16C 2.5GHz","Intel Broadwell",2500,Linux,Linux,None,16,"Intel Xeon E5 (Broadwell)","Inspur SA5212M4","Inspur Cluster","Gigabit Ethernet","10G Ethernet","Eastern Asia",Asia,50596,179219
432,333,50,105,,"Inspur SA5212M4, Xeon E5-2682v4 16C 2.5GHz, 10G Ethernet","Internet Service A",Inspur,China,2017,Industry,64000,,1269,2560,5243000,,,,,,Cluster,"Xeon E5-2682v4 16C 2.5GHz","Intel Broadwell",2500,Linux,Linux,None,16,"Intel Xeon E5 (Broadwell)","Inspur SA5212M4","Inspur Cluster","Gigabit Ethernet","10G Ethernet","Eastern Asia",Asia,50596,179230
433,,54,433,Spartan,"Bull Sequana XH2000 , AMD Rome 7H12 64C 2.6GHz, Mellanox InfiniBand HDR",Atos,Atos,France,2019,Vendor,43264,,1266.05,1869.004,2076672,,18.448,219,Submitted,5.781,Cluster,"AMD Rome 7H12 64C 2.6GHz","AMD Zen-2 (Rome)",2600,"bullx SCS",Linux,None,64,"AMD Rome","Bull Sequana XH2000 ","Bull Sequana",Infiniband,"Mellanox InfiniBand HDR","Western Europe",Europe,50630,179701
434,334,52,259,MCSystem,"Sugon TC6000, Xeon E5-2650v4 12C 2.2GHz, 10G Ethernet","MCloud Company",Sugon,China,2018,Industry,74400,,1266,2618.88,5884000,,,800,Submitted,1.583,Cluster,"Xeon E5-2650v4 12C 2.2GHz","Intel Broadwell",2200,CentOS,Linux,None,12,"Intel Xeon E5 (Broadwell)","Sugon TC6000","Sugon Cluster","Gigabit Ethernet","10G Ethernet","Eastern Asia",Asia,50784,179539
435,335,52,260,GSCloud,"Sugon TC6000, Xeon E5-2680v4 14C 2.4GHz, 10G Ethernet","Cloud Company",Sugon,China,2018,Industry,67200,,1262,2580.48,5177000,,,720,Submitted,1.753,Cluster,"Xeon E5-2680v4 14C 2.4GHz","Intel Broadwell",2400,CentOS,Linux,None,14,"Intel Xeon E5 (Broadwell)","Sugon TC6000","Sugon Cluster","Gigabit Ethernet","10G Ethernet","Eastern Asia",Asia,50782,179534
436,336,52,261,DJSystem,"Sugon TC6000, Xeon E5-2620v4 8C 2.1GHz, 10G Ethernet","DJIT Company",Sugon,China,2018,Industry,76480,,1258,2569.728,5361000,,,770,Submitted,1.634,Cluster,"Xeon E5-2620v4 8C 2.1GHz","Intel Broadwell",2100,Linux,Linux,None,8,"Intel Xeon E5 (Broadwell)","Sugon TC6000","Sugon Cluster","Gigabit Ethernet","10G Ethernet","Eastern Asia",Asia,50787,179542
437,337,53,337,HSystem,"Sugon TC6000, Xeon E5-2620v4 8C 2.1GHz, 10G Ethernet","Internet Company",Sugon,China,2018,Industry,76000,,1258,2553.6,6259000,,,1200,Submitted,1.048,Cluster,"Xeon E5-2620v4 8C 2.1GHz","Intel Broadwell",2100,Linux,Linux,None,8,"Intel Xeon E5 (Broadwell)","Sugon TC6000","Sugon Cluster","Gigabit Ethernet","10G Ethernet","Eastern Asia",Asia,50707,179666
438,338,52,262,A1,"Lenovo RD650, Xeon Gold 6148 20C 2.4GHz, 25G Ethernet","Financial Company P",Lenovo,China,2018,Industry,29760,,1257.62,2285.568,3779520,,,,,,Cluster,"Xeon Gold 6148 20C 2.4GHz","Intel Skylake",2400,Linux,Linux,None,20,"Xeon Gold","Lenovo RD650","Lenovo Cluster","Gigabit Ethernet","25G Ethernet","Eastern Asia",Asia,50795,179586
439,339,40,13,Yellowstone,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","National Center for Atmospheric Research (NCAR)",IBM,"United States",2012,Research,72288,,1257.615,1503.59,,,,1436.72,Submitted,0.875,Cluster,"Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,Linux,Linux,None,8,"Intel Xeon E5 (SandyBridge)","iDataPlex DX360M4","IBM iDataPlex",Infiniband,"Infiniband FDR","North America",Americas,48418,177827
440,340,52,264,HKVSystem,"Sugon TC6000, Intel Xeon E5-2658v2 10C 2.4GHz, 10G Ethernet","Internet Company",Sugon,China,2018,Industry,68000,,1257,1305.6,6162000,,,840,Submitted,1.496,Cluster,"Intel Xeon E5-2658v2 10C 2.4GHz","Intel IvyBridge",2400,CentOS,Linux,None,10,"Intel Xeon E5 (IvyBridge)","Sugon TC6000","Sugon Cluster","Gigabit Ethernet","10G Ethernet","Eastern Asia",Asia,50707,179531
441,341,52,265,BSystem,"Sugon TC6000, Xeon Gold 5117 14C 2GHz, 10G Ethernet","Internet Service (B)",Sugon,China,2018,Industry,81200,,1254,5196.8,5691000,,,870,Submitted,1.441,Cluster,"Xeon Gold 5117 14C 2GHz","Intel Skylake",2000,CentOS,Linux,None,14,"Xeon Gold","Sugon TC6000","Sugon Cluster","Gigabit Ethernet","10G Ethernet","Eastern Asia",Asia,50330,179536
442,342,52,266,,"Sugon TC6000, Xeon E5-2630v4 10C 2.2GHz, 10G Ethernet","Cloud Company",Sugon,China,2018,Industry,72800,,1252,2562.56,6376000,,,760,Submitted,1.647,Cluster,"Xeon E5-2630v4 10C 2.2GHz","Intel Broadwell",2200,CentOS,Linux,None,10,"Intel Xeon E5 (Broadwell)","Sugon TC6000","Sugon Cluster","Gigabit Ethernet","10G Ethernet","Eastern Asia",Asia,50792,179559
443,,54,443,,"Huawei X6000 V5, Xeon Gold 6248 20C 2.5GHz, Infiniband HDR",University,Huawei,China,2019,Research,29600,,1250.32,2368,3340800,,,360.75,Submitted,3.466,Cluster,"Xeon Gold 6248 20C 2.5GHz","Intel Cascade lake",2500,Linux,Linux,None,20,"Xeon Gold 62xx (Cascade Lake)","Huawei X6000 V5","Huawei Cluster",Infiniband,"Infiniband HDR","Eastern Asia",Asia,50765,179773
444,344,50,108,CTRtraning,"Sugon I620, Xeon E5-2650v4 12C 2.2GHz, 10G Ethernet","Internet Service (B)",Sugon,China,2017,Industry,72000,,1242,2534.4,6421000,,,900,Submitted,1.38,Cluster,"Xeon E5-2650v4 12C 2.2GHz","Intel Broadwell",2200,CentOS,Linux,None,12,"Intel Xeon E5 (Broadwell)","Sugon I620","Sugon Cluster","Gigabit Ethernet","10G Ethernet","Eastern Asia",Asia,50330,179189
445,,54,445,,"Huawei X6000, Xeon Gold 6230 20C 2.1GHz, Intel Omni-Path","Manufacturing Company C",Huawei,Germany,2019,Industry,36000,,1241.05,2419.2,3686400,,,438.75,Submitted,2.829,Cluster,"Xeon Gold 6230 20C 2.1GHz","Intel Cascade lake",2100,Linux,Linux,None,20,"Xeon Gold 62xx (Cascade Lake)","Huawei X6000","Huawei Cluster",Omnipath,"Intel Omni-Path","Western Europe",Europe,50691,179728
